Run,Mean Queuing Time Receptionist,Mean Queuing Time Consultation,Mean Queuing Time Surgery Booking,Mean Total Time in System 1,Mean Queuing Time Calling,Mean Total Time in System 2
70,111.11834566562403,9.386551635518614,112.05403229577733,137.29305174820533,104.45883445028699,107.58591528478472
71,205.93633985578415,14.501654862464239,175.46547313883696,214.25148061728257,186.940441051737,192.88373783929632
72,250.098396649173,36.88893360391828,248.16993616398238,268.52891581525614,215.21177929423828,221.8224576802363
73,270.57348144923156,6.568155471860239,264.94552354595544,299.83381107544295,241.68299539391379,248.908888434854
74,193.62968891185642,3.015216584923688,183.19202914718628,184.6768462054678,195.1194098208888,201.87678121740007
75,206.032131738082,13.672922230212732,216.6918449235635,240.42022926336378,214.73210472991553,220.11541523643368
76,159.70373341226352,7.449850522386831,184.75974403929249,195.64941711571296,200.5983156238812,200.2245452670886
77,187.5749622818165,6.919236263761938,177.16319240355557,189.29427176803088,179.33003445258387,189.00037633813372
78,185.33868624996708,39.5159989790301,174.26430903525534,235.45430454913804,181.59228298175975,187.42385793961776
79,174.21274095217817,12.916463126846079,220.0887413481046,205.66049620145327,190.7880152819861,191.49852149384083
80,165.43490195687622,26.565514628354176,182.5291579919597,217.30118422759546,174.68654001276536,176.20632631787268
81,223.29208372714936,4.956977085038916,284.01620435057487,256.02409462430774,227.0869827764741,233.38112542607857
82,199.39582807004606,4.509348133291253,214.50983927696444,209.7374117624156,226.15502556331538,231.78821621191537
83,228.2994304109246,7.0887732268323145,206.07268955815246,222.32058268548585,230.38756496664877,233.70063731046258
84,202.8404991715809,2.972586294438944,190.9306038076185,207.32803397967805,213.94554580315966,214.10053902330355
85,243.57773140874158,5.554025570003501,249.1294933354392,249.03204533844715,244.47527018530135,250.52951931009162
86,162.16119198008735,18.917162413385288,168.81556339157376,194.3232848209872,157.80692818112237,162.17762293442655
87,225.09005255415508,13.60069480434778,235.46573318568414,266.3200294760068,213.23468523992392,216.8609665436454
88,186.4364742691601,22.31853805261463,187.82728088713137,227.4505752019864,194.04471790073484,199.10634718032566
89,225.5725653473566,18.549630307190643,240.69020657928982,256.54990797456816,219.68725887975512,226.04886361178941
90,152.8027062892225,28.68596932960671,162.6431274050902,189.95084732522446,165.0559934447187,170.28247553767847
91,237.0757844920494,2.593488657867153,199.30048716823302,227.42184621962306,216.123908503803,221.83291298198193
92,167.87204376398114,30.631437251607306,151.99067767108082,198.34061703793677,160.37196786654434,166.11797850182145
93,251.6480492222227,8.434972055640422,225.99432539928935,241.5431587695726,249.53414636997783,256.96023844891295
94,271.4728937476807,13.435330165611937,237.66492233662473,288.66982533491586,249.82610873773086,255.97283243342974
95,145.7169647609331,9.227322030909088,168.76700420941654,173.68521159421257,149.19962456473777,159.15603529923044
96,199.68013744603815,2.8095625832501208,180.64448843910142,207.60391331066646,208.95120847431994,220.73778210895586
97,154.47552211726884,13.471764676622994,116.99986162755961,153.73589571711938,131.4498372952133,143.17515258535974
98,163.2391360873682,7.650116504510291,178.59940494977968,194.58910627471437,166.8205102028967,171.85567917718177
99,235.90273370311056,5.592965473268589,166.51393060754611,224.03643980507022,216.98063641053278,222.2591493562262
